ABBR,layer,patched_logit_difference,indirect_effect,normalized_restoration,count
ALS,5,3.0349609375,0.007421875,0.21422294942181397,5
ALS,6,2.9869140625,-0.040625,-0.3579406857575259,5
ALS,7,2.983984375,-0.0435546875,-0.05292967959170447,5
ALS,8,2.9734375,-0.0541015625,-0.2806628239362524,5
ALS,9,3.0025390625,-0.025,-0.3546926875302307,5
ALS,10,3.0568359375,0.029296875,0.1986344329214475,5
ALS,11,3.0228515625,-0.0046875,-0.029369542886492038,5
ALS,12,3.0224609375,-0.005078125,-0.085801139791863,5
ALS,13,3.033203125,0.0056640625,-0.18338087535715888,5
ALS,14,3.0396484375,0.012109375,-0.00012660098184411606,5
ALS,15,3.0580078125,0.03046875,0.3399173834776928,5
ALS,16,3.0857421875,0.058203125,0.35935682260734714,5
ALS,17,3.0466796875,0.019140625,0.15333910272712314,5
ALS,18,3.0216796875,-0.005859375,0.011335426421529765,5
ALS,19,3.0728515625,0.0453125,0.3601010572650979,5
ALS,20,3.0431640625,0.015625,0.16271248990231424,5
ALS,21,3.0544921875,0.026953125,0.22534278651248374,5
ALS,22,3.0470703125,0.01953125,0.169402604080961,5
ALS,23,3.0498046875,0.022265625,0.27823713417705104,5
ALS,24,3.0544921875,0.026953125,0.2636479778449295,5
ALS,25,3.0552734375,0.027734375,0.07175573885140693,5
ALS,26,3.0212890625,-0.00625,-0.0816226899985539,5
ALS,27,3.0162109375,-0.011328125,-0.08457843470911186,5
ALS,28,3.0478515625,0.0203125,0.2172840796894401,5
ALS,29,3.04296875,0.0154296875,0.14200988981056242,5
ALS,30,3.0498046875,0.022265625,0.2475572382954109,5
ALS,31,3.0384765625,0.0109375,0.16649564989204202,5
AMA,0,1.6765625,-0.51640625,14.941989208975997,5
AMA,1,1.83984375,-0.353125,4.725913982301849,5
AMA,2,1.9859375,-0.20703125,2.4940796770863694,5
AMA,3,1.8953125,-0.29765625,5.992555152155618,5
AMA,4,1.89765625,-0.2953125,6.6539715707449405,5
AMA,5,2.165625,-0.02734375,1.7311914521580687,5
AMA,6,2.221875,0.02890625,-0.8952284717436955,5
AMA,7,2.09609375,-0.096875,2.135718899544337,5
AMA,8,2.1453125,-0.04765625,0.18993883270644435,5
AMA,9,2.0921875,-0.10078125,2.852314426798345,5
AMA,10,2.18671875,-0.00625,-2.502873985788096,5
AMA,11,2.14765625,-0.0453125,0.8816035864766298,5
AMA,12,2.1671875,-0.02578125,0.03794904087352276,5
AMA,13,2.14453125,-0.0484375,-0.510556421367426,5
AMA,14,2.24296875,0.05,-1.187756376699886,5
AMA,15,2.1703125,-0.02265625,1.0820507957086478,5
AMA,16,2.1859375,-0.00703125,-0.3255276516585548,5
AMA,17,2.1703125,-0.02265625,0.368703764329701,5
AMA,18,2.18046875,-0.0125,-0.4705718262214802,5
AMA,19,2.19296875,0.0,-0.3623836560381527,5
AMA,20,2.1890625,-0.00390625,-0.5667925274473863,5
AMA,21,2.18515625,-0.0078125,-0.13152868119088018,5
AMA,22,2.16953125,-0.0234375,0.028474532693098593,5
AMA,23,2.1703125,-0.02265625,-0.088828147086941,5
AMA,24,2.1703125,-0.02265625,0.5576792053535681,5
AMA,25,2.165625,-0.02734375,0.1149152106592003,5
AMA,26,2.17578125,-0.0171875,0.23603376212356025,5
AMA,27,2.1703125,-0.02265625,-0.1166596850938427,5
AMA,28,2.17578125,-0.0171875,-0.05772610627061449,5
AMA,29,2.1703125,-0.02265625,0.3782295421304782,5
AMA,30,2.184375,-0.00859375,-0.08203083694441342,5
AMA,31,2.1796875,-0.01328125,0.12717869467285112,5
AML,0,2.7078125,0.104296875,-2.0212734591274097,5
